FIRETYPE,SEASON,FIRE_NO,NAME,START_DATE,STRTDATIT,TREAT_TYPE,FIREKEY,DSE_ID,CFA_ID,AREA_HA,latitude,longitude
BUSHFIRE,2019,51,MALLEE 51 - MSNP - PHEENYS TRACK SOUTH,11/2/2018,20181102,FIRE,W201922051,952862,,0.01,-34.73307916,140.9988579
BUSHFIRE,2020,65,MALLEE 65 - TAPLAN - SETTLEMENT ROAD,12/20/2019,20191220,FIRE,W202022065,969826,,0.0003,-34.60035025,141.0431591
BUSHFIRE,2019,50,MALLEE 50 - MSNP - MILLEWA SOUTH BORE TRACK,11/2/2018,20181102,FIRE,W201922050,952860,,0.0301,-34.78646903,141.0779205
BUSHFIRE,2019,50,MALLEE 50 - MSNP - MILLEWA SOUTH BORE TRACK,11/2/2018,20181102,FIRE,W201922050,952860,,0.01,-34.78669905,141.0928589
BUSHFIRE,2019,50,MALLEE 50 - MSNP - MILLEWA SOUTH BORE TRACK,11/2/2018,20181102,FIRE,W201922050,952860,,0.01,-34.78660787,141.0941705
BUSHFIRE,2019,50,MALLEE 50 - MSNP - MILLEWA SOUTH BORE TRACK,11/2/2018,20181102,FIRE,W201922050,952860,,0.02,-34.78638192,141.0948261
BUSHFIRE,2019,50,MALLEE 50 - MSNP - MILLEWA SOUTH BORE TRACK,11/2/2018,20181102,FIRE,W201922050,952860,,0.01,-34.78571806,141.0771182
BUSHFIRE,2019,50,MALLEE 50 - MSNP - MILLEWA SOUTH BORE TRACK,11/2/2018,20181102,FIRE,W201922050,952860,,0.01,-34.78562781,141.0772274
BUSHFIRE,2019,50,MALLEE 50 - MSNP - MILLEWA SOUTH BORE TRACK,11/2/2018,20181102,FIRE,W201922050,952860,,0.01,-34.78562768,141.077446
BUSHFIRE,2019,50,MALLEE 50 - MSNP - MILLEWA SOUTH BORE TRACK,11/2/2018,20181102,FIRE,W201922050,952860,,0.02,-34.78620148,141.0949351
BUSHFIRE,2019,50,MALLEE 50 - MSNP - MILLEWA SOUTH BORE TRACK,11/2/2018,20181102,FIRE,W201922050,952860,,0.01,-34.78588535,141.0955906
BUSHFIRE,2019,50,MALLEE 50 - MSNP - MILLEWA SOUTH BORE TRACK,11/2/2018,20181102,FIRE,W201922050,952860,,0.02,-34.78484684,141.0974475
BUSHFIRE,2019,50,MALLEE 50 - MSNP - MILLEWA SOUTH BORE TRACK,11/2/2018,20181102,FIRE,W201922050,952860,,0.01,-34.78400243,141.0806142
BUSHFIRE,2019,50,MALLEE 50 - MSNP - MILLEWA SOUTH BORE TRACK,11/2/2018,20181102,FIRE,W201922050,952860,,0.01,-34.78391218,141.0807234
BUSHFIRE,2019,50,MALLEE 50 - MSNP - MILLEWA SOUTH BORE TRACK,11/2/2018,20181102,FIRE,W201922050,952860,,0.01,-34.78382193,141.0808326
BUSHFIRE,2020,65,MALLEE 65 - TAPLAN - SETTLEMENT ROAD,12/20/2019,20191220,FIRE,W202022065,969826,,0,-34.60031415,141.0431842
BUSHFIRE,2020,65,MALLEE 65 - TAPLAN - SETTLEMENT ROAD,12/20/2019,20191220,FIRE,W202022065,969826,,0,-34.60031318,141.0431894
BUSHFIRE,2019,50,MALLEE 50 - MSNP - MILLEWA SOUTH BORE TRACK,11/2/2018,20181102,FIRE,W201922050,952860,,0.02,-34.78355115,141.0812149
BUSHFIRE,2019,50,MALLEE 50 - MSNP - MILLEWA SOUTH BORE TRACK,11/2/2018,20181102,FIRE,W201922050,952860,,0.02,-34.78309924,141.0827447
BUSHFIRE,2020,65,MALLEE 65 - TAPLAN - SETTLEMENT ROAD,12/20/2019,20191220,FIRE,W202022065,969826,,0.0007,-34.59978987,141.031743
BUSHFIRE,2019,50,MALLEE 50 - MSNP - MILLEWA SOUTH BORE TRACK,11/2/2018,20181102,FIRE,W201922050,952860,,0.0301,-34.78670987,141.0773377
BUSHFIRE,2019,50,MALLEE 50 - MSNP - MILLEWA SOUTH BORE TRACK,11/2/2018,20181102,FIRE,W201922050,952860,,0.01,-34.78661921,141.0781028
BUSHFIRE,1981,999,,,19810101,FIRE,W198199999,,,33704.5055,-37.71250478,148.6393195
BUSHFIRE,1981,999,,,19810101,FIRE,W198199999,,,22862.3367,-37.67207731,148.2609173
