,ROW,SCHOOL_NO,Fire_Risk_Category_2023_24,Facility_Name,Education_Sector,Facility_Address,Town_Suburb,Local-Government_Area,Fire_Weather_District,X,Y
374,375,8832,CAT 4,Birchip P-12 School,Government,43-47 Campbell Street,Birchip,Buloke,Mallee,142.90994,-35.98438
375,376,6207,CAT 4,Boisdale Consolidated School,Government,69 Newry Road,Boisdale,Wellington,West and South Gippsland,146.97947,-37.87959
376,377,1070,CAT 4,Bolinda Primary School,Government,1 Mullalys Road,Bolinda,Macedon Ranges,Central,144.7454,-37.43373
377,378,1184,CAT 4,Boneo Primary School,Government,582 Boneo Road,Boneo,Mornington Peninsula,Central,144.88711,-38.41198
378,379,2063,CAT 4,"Borinya, Wangaratta Community Partnership",Catholic,30 College Street,Wangaratta,Wangaratta,North East,146.30898,-36.33783
379,380,5224,CAT 4,Botanic Ridge Primary School,Government,10 Echidna Parade,Botanic Ridge,Casey,Central,145.28805,-38.15007
380,381,5377,CAT 4,Branxholme-Wallacedale Community School,Government,2 Monroe Street,Branxholme,Southern Grampians,South West,141.79872,-37.85635
381,382,1117,CAT 4,Briagolong Primary School,Government,2 Church Street,Briagolong,Wellington,West and South Gippsland,147.06784,-37.8428
382,383,1097,CAT 4,Bridgewater Primary School,Government,34 - 44 Eldon Street,Bridgewater On Loddon,Loddon,Northern Country,143.94592,-36.6031
383,384,5563,CAT 4,Bridgewood Primary School,Government,115 Bridge Road,Officer,Cardinia,Central,145.41966,-38.07195
384,385,7655,CAT 4,Broadford Secondary College,Government,2-12 Pinniger Street,Broadford,Mitchell,North Central,145.04003,-37.20438
385,386,862,CAT 4,Broken Creek Primary School,Government,413 Quinn Road,Broken Creek,Benalla,North East,145.88923,-36.42328
386,387,5392,CAT 4,Bundalaguah Primary School,Government,627 Maffra-Sale Road,Bundalaguah,Wellington,West and South Gippsland,147.0121,-38.0235
387,388,1960,CAT 4,Bungaree Primary School,Government,348 Bungaree-wallace Road,Bungaree,Moorabool,Central,144.0071,-37.55759
388,389,1484,CAT 4,Cape Clear Primary School,Government,1539 Scarsdale-pitfield Road,Cape Clear,Golden Plains,Central,143.60821,-37.79196
389,390,3689,CAT 4,Cardinia Primary School,Government,2405 Ballarto Road,Cardinia,Cardinia,Central,145.42377,-38.1458
390,391,1704,CAT 4,Carraragarmungee Primary School,Government,1005 Wangaratta-Eldorado Road,Londrigan,Wangaratta,North East,146.46086,-36.3289
391,392,7695,CAT 4,Casterton Secondary College,Government,27 Mt Gambier Road,Casterton,Glenelg,South West,141.38749,-37.5888
392,393,1602,CAT 4,Ceres Primary School,Government,605 Barrabool Road,Ceres,Greater Geelong,Central,144.26673,-38.17355
393,394,2313,CAT 4,Drouin South Primary School,Government,3061 Westernport Road,Drouin South,Baw Baw,West and South Gippsland,145.82682,-38.17057
394,395,8830,CAT 4,Charlton College,Government,33 - 49 Davies Street,Charlton,Buloke,Mallee,143.35963,-36.27031
395,396,5194,CAT 4,Chirnside Park Primary School,Government,66 Kimberley Drive,Chirnside Park,Yarra Ranges,Central,145.31134,-37.75007
396,397,2189,CAT 4,Ellinbank Primary School,Government,13 Community Place,Ellinbank,Baw Baw,West and South Gippsland,145.93563,-38.24023
397,398,5280,CAT 4,Clifton Springs Primary School,Government,84-118 Jetty Road,Clifton Springs,Greater Geelong,Central,144.55314,-38.16566
398,399,1552,CAT 4,Clunes Primary School,Government,Canterbury Street,Clunes,Hepburn,Central,143.79211,-37.29075
399,400,3664,CAT 4,Clyde Primary School,Government,13 Oroya Grove,Clyde,Casey,Central,145.32639,-38.13232
400,401,7086,CAT 4,Clyde Secondary College,Government,21 Fernlea Homestead Road ,Clyde,Casey,Central,145.33886,-38.12955
401,402,4387,CAT 4,Cobains Primary School,Government,3 Crofts Road,Cobains,Wellington,West and South Gippsland,147.13228,-38.07479
402,403,7088,CAT 4,Cobden Technical School,Government,Mckenzie Street,Cobden,Corangamite,South West,143.06361,-38.32404
403,404,7735,CAT 4,Cohuna Secondary College,Government,6415 Murray Valley Highway,Cohuna,Gannawarra,Mallee,144.22642,-35.8135
404,405,4775,CAT 4,Colac South West Primary School,Government,238 Wilson Street,Colac,Colac-Otway,South West,143.57203,-38.34363
405,406,3936,CAT 4,Colbinabbin Primary School,Government,56 Mitchell Street,Colbinabbin,Campaspe,Northern Country,144.80166,-36.58988
406,407,5127,CAT 4,Coldstream Primary School,Government,Kelso Street,Coldstream,Yarra Ranges,Central,145.38271,-37.73256
407,408,2118,CAT 4,Coleraine Primary School,Government,124 Church Street,Coleraine,Southern Grampians,South West,141.68404,-37.60184
408,409,5393,CAT 4,Lardner and District Primary School,Government,270 Burnt Store Road,Lardner,Baw Baw,West and South Gippsland,145.88035,-38.20464
409,410,2563,CAT 4,Congupna Primary School,Government,3580 Katamatite Road,Congupna,Greater Shepparton,Northern Country,145.43428,-36.29987
410,411,5292,CAT 4,Coral Park Primary School,Government,145 Coral Drive,Hampton Park,Casey,Central,145.27435,-38.04385
411,412,2076,CAT 4,Cornish College,Independent,65 Riverend Road,Bangholme,Greater Dandenong,Central,145.14876,-38.0492
412,413,8843,CAT 4,Corryong College,Government,27-45 Towong Road,Corryong,Towong,North East,147.91076,-36.19294
413,414,1794,CAT 4,Covenant College,Independent,105 Creamery Road,Bell Post Hill,Greater Geelong,Central,144.318,-38.09719
414,415,1967,CAT 4,Cowwarr Primary School,Government,Church Street,Cowwarr,Wellington,West and South Gippsland,146.69896,-38.0137
415,416,7748,CAT 4,Cranbourne West Secondary College,Government,80 Strathlea Drive ,Cranbourne West,Casey,Central,145.24651,-38.10672
416,417,122,CAT 4,Creswick Primary School,Government,67 Napier Street,Creswick,Hepburn,Central,143.89156,-37.42411
417,418,105,CAT 4,Cudgee Primary School,Government,3 Hallowells Road,Cudgee,Moyne,South West,142.65084,-38.34794
418,419,8145,CAT 4,Neerim District Secondary College,Government,20 Neerim East Road,Neerim South,Baw Baw,West and South Gippsland,145.95668,-38.01694
419,420,5578,CAT 4,Deanside Primary School,Government,38 Conservatory Drive ,Deanside,Melton,Central,144.69701,-37.72176
420,421,4996,CAT 4,Derinya Primary School,Government,Overport Road,Frankston South,Frankston,Central,145.12094,-38.17444
421,422,1764,CAT 4,Devenish Primary School,Government,76 Main Road,Devenish,Benalla,North East,145.89434,-36.32654
422,423,3924,CAT 4,Devon Meadows Primary School,Government,Worthing Road,Devon Meadows,Casey,Central,145.30138,-38.16203
423,424,3944,CAT 4,Dhurringile Primary School,Government,605 Langham Road,Dhurringile,Greater Shepparton,Northern Country,145.23979,-36.5432
424,425,8397,CAT 4,Dohertys Creek P-9 College,Government,60 Elmhurst Road,Truganina,Wyndham,Central,144.73391,-37.84298
425,426,7775,CAT 4,Donald High School,Government,2-16 Camp Street,Donald,Buloke,Mallee,142.97396,-36.37078
426,427,1527,CAT 4,Dookie Primary School,Government,Baldock Street,Dookie,Greater Shepparton,Northern Country,145.68279,-36.33107
427,428,2432,CAT 4,Neerim South Primary School,Government,180 Main Neerim Road,Neerim South,Baw Baw,West and South Gippsland,145.95536,-38.01531
428,429,2712,CAT 4,Nilma Primary School,Government,76 Bloomfield Road,Nilma,Baw Baw,West and South Gippsland,145.97429,-38.16574
429,430,2129,CAT 4,Ripplebrook Primary School,Government,2260 Westernport Road,Ripplebrook,Baw Baw,West and South Gippsland,145.75849,-38.20349
